carat,cut,color,clarity,depth,table,price
0.43,4,3,2,61.5,56.0,6.9239999999999995
1.1,4,5,2,62.0,57.0,8.589
0.56,3,3,2,60.2,57.0,7.272
2.05,5,4,5,62.3,60.0,9.514
0.31,5,5,5,62.2,58.0,6.443
0.7,3,6,5,61.1,60.0,7.681
2.35,3,6,4,58.5,57.0,9.624
1.01,2,1,2,65.5,58.0,8.382
0.41,4,3,5,62.3,56.0,6.841
1.32,1,3,4,65.2,58.0,8.736
1.3,5,6,2,58.1,59.0,8.73
0.81,4,1,1,61.5,55.0,8.277000000000001
0.57,2,2,2,62.2,64.0,7.521
0.3,2,3,5,63.3,55.0,6.265
0.7,5,5,2,62.7,59.0,7.611000000000001
0.33,4,5,3,62.2,54.0,6.75
1.0,2,6,2,62.9,64.0,8.274
0.73,3,1,2,61.4,60.0,7.892
1.01,3,5,1,63.0,55.0,8.527999999999999
0.3,4,7,7,61.7,57.0,6.778
0.71,3,4,3,61.1,58.0,7.707999999999999
0.32,4,3,5,61.9,56.0,6.553999999999999
0.41,4,1,3,60.6,57.0,7.017
0.31,4,7,5,60.8,56.0,6.215
1.01,3,3,7,63.1,57.0,9.296
0.51,3,4,5,61.9,61.0,6.892
0.44,5,3,2,62.3,58.0,6.906000000000001
0.58,4,6,5,61.8,55.0,7.394
0.3,4,2,2,61.4,56.0,6.314
0.8,3,5,1,60.9,57.0,8.093
1.01,3,3,5,60.6,59.0,8.881
0.38,4,6,1,62.3,55.0,6.555
0.23,3,7,3,62.8,55.0,6.066
0.64,4,1,5,62.3,56.0,7.691
0.9,5,7,2,60.6,61.0,8.134
1.01,4,7,4,59.3,60.0,8.424
1.51,5,1,5,62.5,58.0,9.568
2.26,3,5,4,63.1,58.0,9.532
0.74,4,5,7,62.5,55.0,8.097999999999999
0.91,4,1,4,62.4,57.0,8.228
1.3,3,5,4,62.8,58.0,8.722999999999999
1.24,5,6,5,62.1,55.0,8.681000000000001
0.39,5,2,5,60.2,59.0,6.931
1.25,4,2,5,62.6,56.0,9.204
0.89,2,3,4,61.6,60.9,8.097000000000001
0.38,4,5,3,62.5,53.4,6.724
0.74,1,7,3,65.2,58.0,7.992999999999999
0.81,4,5,6,61.6,58.0,8.321
0.33,3,2,2,63.1,55.0,6.59
0.6,4,5,3,62.2,55.0,7.566
0.7,2,5,2,63.8,58.0,7.632999999999999
0.52,4,3,5,62.3,53.0,7.345
0.7,4,5,2,62.5,55.0,7.7379999999999995
2.11,4,2,4,62.7,56.0,9.705
0.4,4,3,3,61.8,56.0,7.053999999999999
1.01,2,7,5,63.1,55.0,8.556000000000001
0.41,3,7,1,62.4,57.0,6.801
0.42,4,3,2,62.6,57.0,6.65
1.51,4,6,4,61.8,57.0,8.933
1.75,4,6,5,61.0,56.0,9.402999999999999
1.07,4,5,2,62.1,56.0,8.612
1.0,4,1,4,61.0,55.0,8.177999999999999
0.91,5,1,4,59.1,60.0,8.255
0.61,4,7,6,62.3,56.0,7.886
1.52,3,1,1,63.4,60.0,9.721
1.22,5,7,5,60.9,57.0,8.996
1.06,4,5,2,62.2,57.0,8.545
0.52,4,5,1,62.0,56.0,7.377000000000001
1.01,3,6,4,63.7,56.0,8.306000000000001
0.37,5,1,5,61.0,58.0,6.864
0.72,4,2,4,62.7,55.0,7.89
0.51,4,7,1,59.7,57.0,7.485
0.9,3,2,4,63.5,58.0,8.273
0.43,3,1,1,62.2,61.0,6.962000000000001
1.14,3,3,6,63.3,57.0,9.445
1.62,4,7,5,61.3,55.0,9.692
1.05,4,1,3,62.1,54.0,9.115
0.4,4,1,7,61.3,55.0,7.188
0.93,4,5,2,62.4,55.0,8.441
1.62,3,1,5,63.2,56.0,9.575
0.51,4,7,4,60.6,57.0,6.88
0.58,4,7,4,62.2,55.0,7.202999999999999
0.37,5,3,5,59.1,60.0,6.9479999999999995
0.78,3,3,1,60.9,57.0,8.137
0.9,5,6,5,62.4,60.0,8.141
1.57,3,5,2,62.4,58.0,9.425
1.51,5,7,5,58.1,61.0,9.371
0.7,4,4,5,61.9,57.0,7.587999999999999
1.46,4,3,4,62.3,55.0,9.038
2.36,4,6,4,60.8,54.0,9.327
0.42,4,1,1,61.4,57.0,7.006
0.42,2,3,2,63.4,56.0,6.65
0.35,5,5,1,62.6,58.0,6.669
0.34,3,6,7,61.9,58.0,6.439
2.03,5,4,4,61.6,58.0,9.424
1.5,5,6,1,62.7,59.0,9.218
1.2,3,3,2,62.7,57.0,8.897
1.0,5,6,5,62.7,62.0,8.273
1.18,5,5,2,61.8,58.0,8.666
0.7,5,7,2,61.4,60.0,7.781000000000001
1.0,2,5,5,60.9,61.0,8.567
0.91,2,5,1,57.8,61.0,8.426
1.07,4,1,2,61.5,56.0,8.894
0.74,3,3,5,61.8,58.0,8.065
0.9,2,2,4,64.0,59.0,8.312999999999999
1.6,4,5,4,61.5,55.0,9.08
0.51,3,2,2,60.9,59.0,7.358
0.74,4,7,5,62.3,55.0,7.965
1.23,4,6,4,60.6,57.0,8.477
0.91,5,7,4,59.8,58.0,7.942
1.07,4,1,5,61.0,54.0,8.931000000000001
1.7,4,6,1,62.2,55.0,9.452
1.56,3,6,1,62.7,58.0,9.196
1.24,4,2,2,60.4,57.0,9.043
1.11,3,5,4,61.5,59.0,8.301
0.52,4,5,2,61.7,55.0,7.127000000000001
0.31,5,3,2,59.2,60.0,6.547999999999999
0.54,4,3,1,61.0,56.0,7.57
0.41,5,4,1,62.1,58.0,6.721
1.0,5,7,3,61.6,61.0,8.957
0.31,2,2,4,63.6,54.0,6.385
1.23,4,7,3,62.2,55.0,9.242
0.34,4,3,5,62.2,55.0,6.6129999999999995
0.79,3,2,2,59.7,57.0,8.141
2.02,3,1,2,62.7,59.0,9.772
1.06,4,6,4,61.4,57.0,8.237
0.3,5,3,5,60.0,60.0,6.489
0.4,3,1,1,63.1,56.0,6.797000000000001
1.0,5,4,2,60.8,58.0,8.219
1.21,1,7,2,64.5,56.0,8.442
0.64,2,4,4,64.7,54.0,7.04
0.98,5,3,4,61.7,61.0,8.407
0.56,3,2,2,63.1,57.0,7.483
0.26,4,5,1,62.1,56.0,6.105
0.35,4,2,2,61.3,57.0,6.718
1.19,4,7,3,60.9,53.0,9.149
1.2,5,7,1,62.4,58.0,9.06
0.51,4,7,6,61.4,54.0,7.7
1.51,5,5,5,61.2,58.0,9.323
0.52,4,7,3,62.4,55.0,7.607
0.51,2,3,2,63.5,54.0,7.202999999999999
0.9,3,3,4,61.6,59.0,8.275
1.16,4,7,3,62.2,56.0,9.15
1.09,4,1,3,62.0,56.0,9.23
2.01,5,1,2,59.5,58.0,9.582
0.52,4,3,5,62.4,57.0,7.391
0.3,4,7,1,61.7,54.6,6.426
0.3,5,3,4,62.7,59.0,6.292000000000001
0.33,4,5,6,61.8,55.2,6.692
0.33,4,4,4,62.4,54.0,5.903
0.7,3,6,7,60.9,60.0,7.792000000000001
0.76,3,7,3,62.3,57.0,8.174
0.33,4,7,7,62.2,57.0,7.016
0.72,4,5,2,62.2,58.0,7.807
0.7,4,7,2,62.0,56.0,7.901
0.37,5,7,5,59.3,60.0,6.475
0.51,3,3,2,62.9,57.0,7.172999999999999
0.34,3,3,4,62.9,56.0,6.167999999999999
0.5,1,7,3,64.9,58.0,7.445
0.36,4,7,6,62.2,53.0,6.936
0.32,4,4,1,62.0,54.7,6.091
0.51,5,2,2,62.3,57.0,7.431
1.5,2,1,4,64.1,55.0,8.894
2.65,5,7,4,62.0,61.0,9.7
0.57,3,1,1,63.2,56.0,7.462000000000001
0.31,4,7,3,62.1,56.0,6.561
1.25,5,4,4,61.5,57.0,8.453
0.58,4,2,7,62.1,55.0,8.225
0.27,4,7,6,61.6,57.0,6.3389999999999995
0.28,5,3,2,60.3,58.0,6.271
0.3,5,5,2,62.6,58.0,6.292000000000001
1.0,1,1,4,65.5,56.0,8.054
1.04,4,6,2,61.7,57.0,8.377
0.57,4,3,5,62.2,55.0,7.437
0.91,3,1,1,63.1,59.0,8.395
0.4,5,3,1,62.4,54.0,7.026
2.0,3,4,4,62.1,63.0,9.09
1.23,5,4,5,58.0,61.0,8.375
0.65,5,2,2,60.5,58.0,7.666
1.27,4,7,1,59.6,57.0,9.152000000000001
0.41,5,1,6,62.6,58.0,7.272
0.9,4,2,2,62.5,57.0,8.429
0.7,4,1,4,60.1,57.0,7.678999999999999
0.4,5,7,3,62.7,59.0,6.957000000000001
0.3,4,3,5,61.8,56.0,6.7379999999999995
0.32,2,7,5,63.3,54.0,6.33
2.03,3,2,4,63.1,58.0,9.537
0.71,3,1,4,60.9,56.0,7.619
0.4,4,6,3,61.6,56.0,6.646
0.5,3,3,5,61.5,56.0,7.393
1.18,4,7,5,60.9,56.0,8.914
0.3,3,2,4,62.2,59.0,6.103
0.7,1,7,3,65.3,61.0,7.905
1.12,3,6,4,61.2,59.0,8.419
0.75,4,7,2,62.2,55.0,7.922999999999999
1.52,4,5,2,62.0,56.0,8.921
0.79,4,6,2,61.6,56.0,7.922000000000001
1.5,3,6,2,63.1,54.0,9.037
0.41,4,1,6,61.4,56.0,7.272
0.53,4,2,5,61.4,56.0,7.579
0.42,3,3,2,60.0,61.0,6.611000000000001
2.01,3,7,2,63.5,60.0,9.618
1.07,4,7,7,62.6,54.0,9.135
0.31,4,5,6,61.4,56.0,6.671
0.31,5,3,2,62.3,56.0,6.547999999999999
0.3,4,5,3,61.3,57.0,6.654
1.0,3,3,2,63.3,56.0,8.522
1.5,5,5,4,61.8,57.0,8.771
0.9,2,1,2,61.3,60.0,8.267000000000001
1.01,3,3,3,61.5,58.0,9.105
0.42,5,7,2,62.7,59.0,6.824
0.82,4,7,1,61.5,56.0,8.203
1.27,5,1,3,61.3,60.0,9.385
0.3,4,2,1,61.1,57.0,6.7860000000000005
1.1,4,7,2,62.2,56.6,8.677
1.0,5,5,5,59.4,61.0,8.626
0.36,4,5,5,61.0,55.0,6.375
0.37,4,3,2,61.9,56.0,6.725
2.37,5,5,4,62.3,57.0,9.682
1.59,5,2,4,59.4,61.0,8.959
0.4,3,3,2,62.8,59.0,6.561
0.41,5,7,5,61.6,58.0,6.718
0.74,4,3,4,62.2,56.0,7.922999999999999
1.1,4,2,3,61.0,56.0,9.251
0.7,2,5,4,61.5,63.0,7.5489999999999995
0.7,4,3,2,61.1,56.0,8.111
0.6,4,2,2,62.3,57.0,7.518
0.51,5,3,2,61.2,61.0,7.246
0.7,5,3,3,61.0,59.0,8.128
1.07,3,7,2,63.1,59.0,8.507
0.91,4,7,1,62.3,55.0,8.488999999999999
1.0,2,2,5,60.7,61.0,8.857000000000001
0.51,4,7,5,61.7,57.0,7.271
1.15,4,4,5,60.7,55.0,8.542
0.39,5,7,2,61.7,57.0,6.75
0.9,5,7,4,61.9,61.0,8.062999999999999
0.54,4,1,4,61.1,56.0,7.051
0.36,5,6,1,62.0,59.0,6.5920000000000005
0.9,3,7,5,59.6,61.0,8.317
0.56,4,5,5,61.3,56.0,7.393
0.56,4,1,2,61.4,57.0,7.2
1.64,3,6,2,62.3,58.0,9.121
0.72,3,6,4,63.2,62.0,7.502999999999999
1.01,4,1,4,62.4,56.0,8.225
0.52,3,3,2,62.7,57.0,7.236000000000001
1.31,5,6,1,58.5,60.0,8.815
1.02,5,7,5,62.0,57.0,8.627
1.01,4,1,4,60.6,57.0,8.352
0.6,4,1,1,62.9,57.0,7.669
1.0,2,6,4,63.9,60.0,8.168
0.41,3,2,5,62.1,56.0,6.604
0.33,4,2,5,62.1,55.0,6.6610000000000005
1.5,3,1,5,61.3,61.0,9.564
0.33,5,1,5,61.9,57.0,6.75
0.31,2,7,7,63.5,57.0,6.704
0.3,3,7,7,61.1,57.0,6.522
0.41,4,4,1,61.6,55.1,6.513
1.07,4,7,6,61.5,57.0,9.162
2.02,4,6,2,61.9,58.0,9.677
0.52,4,7,3,62.1,57.0,7.607
1.0,4,7,2,61.9,56.0,8.517000000000001
1.01,3,7,1,60.9,55.0,8.879
0.71,5,5,4,62.4,56.0,7.615
1.08,5,7,4,59.8,57.0,8.371
1.54,5,5,8,62.0,60.0,8.513
2.21,3,7,4,60.7,62.0,9.669
0.54,4,3,2,60.6,58.0,7.272
0.43,4,7,1,61.6,55.1,6.912999999999999
0.41,1,3,4,64.7,55.0,6.707000000000001
1.25,5,7,5,61.9,58.0,8.995
1.04,2,1,5,63.7,58.0,8.814
0.35,5,3,7,61.0,58.0,7.018
0.31,4,3,5,62.4,54.0,6.771
1.01,2,3,4,63.7,55.0,8.323
0.36,4,5,1,61.8,57.0,6.697
0.7,2,7,2,61.8,62.0,7.676
1.54,5,1,2,62.8,58.0,9.203
1.19,4,5,4,61.7,56.0,8.476
1.07,5,6,4,59.7,59.0,8.344
0.32,4,7,6,61.0,56.0,6.822
1.01,3,3,5,63.4,60.0,8.823
0.76,3,3,1,62.1,58.0,8.136000000000001
1.05,3,3,2,62.2,56.0,8.611
0.31,4,7,1,61.0,55.0,6.687
1.19,3,5,2,62.7,61.0,8.63
1.76,3,6,4,62.0,57.0,9.2
0.7,2,3,2,63.3,60.0,7.851
0.52,4,7,4,59.7,56.0,6.949
0.3,4,6,3,62.5,54.0,6.205
0.33,4,3,1,60.0,57.0,6.438
1.7,5,6,4,62.9,59.0,9.141
2.03,3,7,2,61.3,59.0,9.812000000000001
0.27,2,3,7,63.9,57.0,6.372999999999999
0.5,3,5,6,61.3,60.0,7.442
0.71,3,2,2,63.1,56.0,7.917000000000001
0.42,4,5,3,62.9,56.0,6.892
0.5,4,1,4,62.0,55.0,7.1739999999999995
0.33,4,5,5,60.7,57.0,6.256
1.01,4,5,4,61.1,56.0,8.454
0.31,4,3,1,61.6,57.0,6.848
2.0,5,7,4,61.1,60.0,9.546
0.51,3,7,1,62.9,58.0,7.412000000000001
0.27,3,1,3,62.3,59.0,6.382000000000001
0.54,4,2,2,62.6,55.0,7.375
0.58,4,3,5,60.6,56.0,7.501
0.92,5,3,5,61.2,62.0,8.434
0.3,4,1,3,61.6,55.0,6.621
0.52,3,3,2,63.3,57.0,7.154
1.01,2,5,8,63.2,58.0,8.042
1.8,2,1,4,57.9,58.0,9.418
1.52,2,6,2,64.0,58.0,9.119
1.5,2,1,2,60.5,62.0,9.341000000000001
0.83,5,1,2,62.0,59.0,8.07
0.87,4,3,4,60.4,58.0,8.179
0.32,3,1,4,62.6,56.0,6.042999999999999
0.31,4,7,5,62.1,55.0,6.358
1.55,4,7,4,60.7,55.0,9.162
0.41,5,7,2,62.6,59.0,6.577999999999999
1.05,4,6,2,62.1,54.0,8.451
0.91,3,5,2,63.4,55.0,8.033
0.32,3,5,5,62.8,55.0,6.225
0.91,5,3,1,62.8,60.0,8.511000000000001
1.76,5,2,2,61.0,60.0,9.398
1.01,3,3,2,61.0,56.0,8.389
2.09,4,6,5,62.5,56.0,9.798
0.76,3,7,5,62.1,54.0,8.003
0.42,2,3,2,63.6,61.0,6.851
1.08,3,1,4,63.1,59.0,8.186
1.62,5,5,2,62.2,58.0,9.346
1.0,5,7,5,61.9,58.0,8.726
0.61,4,7,1,61.5,56.0,7.688
1.0,2,4,7,63.5,59.0,8.441
0.93,4,1,4,61.9,57.0,8.279
0.54,2,3,2,61.5,56.0,7.377999999999999
1.0,3,7,5,59.0,62.0,8.66
1.0,1,1,5,68.3,58.0,8.369
0.29,3,1,7,61.5,56.0,6.332999999999999
0.3,5,3,5,62.4,59.0,6.7379999999999995
1.26,1,5,4,64.9,60.0,8.264
1.0,3,2,4,63.3,56.0,8.456
0.41,3,3,3,62.2,57.0,7.018
0.71,4,3,2,61.9,56.0,7.922000000000001
0.51,5,1,5,62.1,58.0,7.431
0.8,5,4,2,60.1,57.0,7.707999999999999
1.0,3,1,2,61.0,60.0,8.666
1.52,3,7,4,60.9,57.0,9.006
0.7,4,6,5,62.0,54.1,7.7139999999999995
1.31,4,1,1,61.7,56.0,9.327
0.38,4,1,3,61.7,55.4,6.917999999999999
0.55,3,1,5,62.5,56.0,7.393
1.08,3,1,7,61.0,58.0,9.231
1.01,2,5,3,63.3,57.0,8.698
0.53,4,2,2,62.0,57.0,7.356
1.04,5,3,5,61.1,59.0,8.86
1.71,5,1,5,60.8,58.0,9.728
1.51,3,4,1,63.7,55.0,8.981
1.51,5,6,2,62.7,61.0,9.082
0.33,3,7,7,61.2,57.0,6.678
0.31,3,4,2,62.7,59.0,5.894
1.06,4,1,5,61.4,56.0,8.941
0.55,4,1,4,61.1,56.0,7.18
0.57,4,7,3,61.7,54.0,7.647
0.71,2,1,4,64.1,60.0,7.664
1.21,5,3,4,61.7,59.0,8.686
1.14,4,7,6,61.1,57.0,9.241
2.01,1,4,5,64.9,60.0,9.527999999999999
0.7,2,5,3,60.5,62.0,7.867000000000001
1.01,1,7,2,65.3,58.0,8.392999999999999
0.3,4,7,5,61.6,57.0,6.301
0.7,4,3,1,60.5,56.0,8.137
1.01,3,7,1,62.3,60.0,8.759
1.32,5,6,2,62.3,58.0,8.728
0.53,5,2,1,60.0,61.0,7.672000000000001
0.38,4,3,7,62.3,56.0,7.051
0.4,4,6,1,61.5,59.0,6.601
1.04,5,7,2,60.3,58.0,8.237
1.0,4,2,1,62.4,55.0,8.982999999999999
0.4,3,3,5,59.1,60.0,6.702000000000001
0.72,3,2,5,63.1,59.0,8.052
0.3,2,5,1,63.2,59.0,6.2379999999999995
0.32,3,6,6,61.9,59.0,6.5120000000000005
1.0,3,7,5,63.0,59.0,8.649
0.32,4,1,5,61.6,57.0,6.468999999999999
2.14,5,4,4,58.4,58.0,9.24
2.03,4,4,5,60.5,57.0,9.552999999999999
2.18,5,1,2,61.2,60.0,9.837
0.42,5,2,2,61.9,59.0,6.947
0.41,4,7,1,61.9,57.0,6.867999999999999
0.24,3,2,3,60.6,59.0,6.314
0.71,4,7,1,61.5,55.0,8.141
0.33,5,7,3,61.3,59.0,6.832000000000001
1.02,5,5,2,59.1,60.0,8.302999999999999
0.37,4,7,2,61.1,56.0,6.275
0.72,3,1,2,62.6,55.0,7.8
0.7,3,6,2,61.1,56.0,7.611000000000001
0.34,4,3,2,61.7,56.0,6.39
1.21,3,5,5,62.1,60.0,8.817
1.0,5,5,4,61.0,57.0,8.302
0.91,2,2,4,63.3,62.0,8.205
0.31,4,5,6,62.2,54.0,6.671
0.9,3,3,5,63.4,59.0,8.267000000000001
0.74,3,3,3,61.9,59.0,8.193
0.56,4,7,5,61.2,56.0,7.365
0.35,5,3,2,60.8,60.0,6.42
1.0,3,6,4,58.3,63.0,8.12
0.32,3,3,2,63.4,56.0,6.51
0.63,4,3,7,61.1,58.0,8.065
1.01,4,6,5,59.9,61.0,8.452
0.9,3,1,4,61.4,57.0,8.166
0.31,4,2,5,62.5,56.0,6.599
0.32,4,3,3,61.0,55.0,6.695
0.57,4,3,5,61.8,56.0,7.523
1.0,5,7,4,62.2,57.0,8.294
0.43,4,5,1,61.1,57.0,6.766
0.5,3,7,1,61.9,59.0,7.38
0.79,4,2,2,61.2,56.0,8.084
0.3,2,1,3,66.0,55.0,6.417999999999999
1.04,5,7,2,62.7,59.0,8.561
0.75,4,5,2,62.1,57.0,7.68
1.21,4,7,1,62.5,55.0,8.99
1.02,4,1,1,62.2,57.0,8.966000000000001
0.32,3,3,7,60.8,58.0,6.861000000000001
2.03,3,6,4,61.2,55.0,9.45
0.55,5,3,5,58.1,62.0,7.443
1.0,1,1,2,56.5,60.0,8.451
0.56,4,6,2,61.9,57.0,7.1
1.5,2,7,2,63.7,59.0,9.252
1.01,4,1,4,61.4,56.0,8.352
1.0,1,1,4,65.1,60.0,8.227
1.12,2,4,2,63.7,61.0,8.282
0.41,5,5,2,62.9,58.0,6.775
0.73,4,6,7,61.7,57.0,7.848
0.6,5,3,2,61.9,58.0,7.5120000000000005
0.32,4,7,3,61.6,56.0,6.562
0.9,5,6,1,61.2,61.0,8.156
0.5,4,3,5,61.4,55.0,7.386
1.53,4,1,2,62.5,57.0,9.352
0.5,4,5,1,61.7,59.0,7.265
0.57,3,1,1,60.3,58.0,7.534
0.85,3,3,5,63.6,56.0,8.293
0.53,4,3,5,62.0,56.0,7.579
1.51,3,1,5,61.1,59.0,9.559
0.52,5,3,1,59.2,59.0,7.461
0.32,3,1,5,61.4,58.0,6.321000000000001
0.4,2,5,2,62.0,61.0,6.502999999999999
1.04,3,2,1,62.3,59.0,9.011000000000001
0.42,3,2,4,58.6,58.0,6.438
0.3,4,6,7,61.3,57.0,6.564
1.23,2,4,5,63.6,60.0,8.461
1.27,4,4,4,61.2,56.0,8.521
0.42,5,7,5,60.1,61.0,6.9910000000000005
1.59,5,5,4,62.6,59.0,9.147
1.32,4,4,1,62.5,57.0,8.667
1.01,5,6,2,61.8,59.0,8.335
0.33,4,1,5,61.6,56.0,6.501
0.5,3,3,2,61.1,55.0,7.1979999999999995
0.75,4,4,1,61.9,56.0,7.678
0.73,3,6,5,59.0,61.0,7.752999999999999
0.79,5,4,2,58.8,62.0,7.562
1.5,4,5,2,62.0,55.0,9.305
0.31,4,5,3,62.4,56.0,6.687
0.31,4,7,5,59.1,57.0,6.2989999999999995
0.32,5,7,1,61.0,59.0,6.468999999999999
1.0,5,1,5,58.7,62.0,8.706
0.5,4,7,6,61.5,56.0,7.652
1.56,4,7,2,60.4,56.0,9.527000000000001
0.73,4,1,3,61.9,55.2,8.266
0.51,3,7,3,63.3,58.0,7.547000000000001
0.9,3,2,5,63.0,62.0,8.448
0.74,2,3,2,62.8,61.0,7.975
0.57,4,7,2,62.3,54.0,7.273
1.55,1,1,2,59.7,66.0,9.232000000000001
0.4,5,7,5,60.4,58.0,6.624
0.53,5,7,1,63.0,58.0,7.454
0.41,3,2,1,61.7,58.0,6.926
0.33,4,3,5,61.3,55.0,6.604
0.78,3,2,5,63.0,58.0,8.17
0.31,5,2,5,62.5,52.0,6.704
0.7,4,2,2,61.8,56.0,7.945
0.51,3,6,5,63.3,56.0,7.039
2.01,5,6,4,62.6,56.0,9.535
0.31,5,6,1,62.3,59.0,6.443
0.7,4,3,5,62.7,56.0,7.9
0.58,4,5,5,61.2,56.0,7.47
0.31,4,3,1,60.4,57.0,6.599
0.31,2,1,5,63.7,59.0,6.367999999999999
1.02,5,5,1,62.1,59.0,8.625
0.31,4,2,2,61.5,56.0,6.347
0.35,5,3,1,60.8,58.0,6.968999999999999
0.78,4,1,2,62.4,54.0,7.901
0.38,4,2,2,62.2,54.0,6.972
0.56,3,4,2,60.3,59.0,6.864
1.17,4,7,5,61.4,56.0,8.929
0.72,4,1,2,62.5,57.0,7.8
0.9,5,5,5,61.3,59.0,8.332
0.7,4,1,7,62.2,57.0,8.402000000000001
0.7,3,2,2,63.7,60.0,7.85
1.01,3,1,5,61.5,57.0,8.726
0.31,3,3,2,62.8,57.0,6.2989999999999995
0.5,3,7,7,61.3,57.0,7.57
0.34,4,6,6,61.9,55.0,6.544
1.42,1,7,5,59.6,66.0,8.884
0.77,3,2,5,63.0,58.0,8.117
1.01,3,6,4,61.4,63.0,8.241
0.91,2,1,1,63.5,56.0,8.481
0.74,4,1,4,60.3,58.0,7.7379999999999995
0.33,4,3,7,61.9,54.0,6.821000000000001
0.41,4,1,5,61.1,56.0,7.0089999999999995
1.0,3,1,4,62.4,56.0,8.27
1.01,5,5,4,60.7,58.0,8.24
0.43,4,3,4,61.9,57.0,6.8229999999999995
0.3,4,1,5,62.9,57.0,6.654
0.39,4,6,6,62.3,54.0,6.797000000000001
0.33,4,1,1,61.2,57.0,6.604
1.62,3,5,5,59.6,59.0,9.344
0.31,2,5,1,64.0,59.0,6.29
0.44,5,3,2,62.3,58.0,6.657
0.33,5,7,1,61.9,59.0,6.75
0.35,4,1,2,62.4,55.0,6.617000000000001
0.3,4,7,7,62.3,54.0,6.921
0.23,5,3,5,62.4,60.0,6.24
0.5,3,1,1,61.9,62.0,7.351
0.71,4,1,1,62.0,57.0,8.027999999999999
0.52,4,2,5,61.3,56.0,7.56
1.59,5,4,5,62.6,59.0,8.963
0.24,3,7,3,62.0,57.0,6.107
1.54,5,7,1,61.1,56.0,9.578
2.1,5,6,2,59.9,61.0,9.656
0.59,1,5,4,64.5,57.0,6.965
2.01,5,7,4,61.2,57.2,9.837
1.54,5,6,2,60.1,58.0,9.139
1.0,2,7,5,63.7,59.0,8.61
0.7,2,3,2,61.4,64.0,7.962999999999999
1.01,4,1,5,61.9,54.0,8.856
1.06,3,1,2,62.5,58.0,8.46
0.31,5,3,1,61.0,60.0,6.455
0.71,1,7,5,65.7,56.0,7.729
0.44,5,7,1,62.3,59.0,6.938
0.32,4,2,1,60.3,57.0,6.659
2.07,4,6,4,62.0,55.0,9.701
0.33,4,3,6,61.9,57.0,7.096
0.92,1,5,4,66.1,57.0,7.733
1.5,3,2,1,61.2,63.0,9.705
0.43,4,1,6,61.5,56.0,7.365
1.07,5,2,4,62.6,61.0,8.507
0.44,3,5,7,61.0,59.0,6.894
0.7,3,3,4,62.0,60.0,7.722
0.73,5,6,5,59.7,59.0,7.769
1.12,3,2,2,59.9,57.0,8.721
0.48,4,4,1,62.2,54.0,6.757999999999999
1.01,5,5,4,59.6,60.0,8.225
0.71,4,5,4,62.1,56.0,7.643
1.2,5,7,8,60.3,58.0,8.036
1.9,5,1,4,62.9,61.0,9.458
0.3,3,7,2,59.5,63.0,6.103
0.41,3,7,2,62.5,57.0,6.577999999999999
0.77,5,7,2,60.7,58.0,7.849
1.7,5,5,3,61.4,58.0,9.243
0.9,2,3,4,61.3,61.0,8.267000000000001
0.33,4,7,1,62.4,56.0,6.75
0.53,2,2,5,58.4,58.0,7.393
0.4,4,5,1,61.8,56.0,6.942
1.13,4,5,2,61.9,60.0,8.685
1.0,1,1,1,65.3,56.0,8.671
0.37,4,3,1,61.6,54.7,6.787000000000001
0.54,4,1,3,61.4,56.0,7.704
0.32,4,3,2,61.6,54.0,6.246
0.9,5,2,5,62.6,59.0,8.5
0.52,4,2,5,61.6,55.0,7.507999999999999
0.9,5,5,5,62.1,58.0,8.291
1.52,5,3,1,60.6,58.0,9.719
2.01,2,6,2,64.1,60.0,9.229
0.23,3,3,3,61.1,62.0,6.184
0.7,4,3,2,60.2,57.0,7.854
1.57,4,6,5,61.5,56.0,9.22
0.91,3,3,4,58.6,63.0,8.011000000000001
0.3,4,7,3,62.0,57.0,6.528
1.5,1,3,2,56.2,58.0,9.349
0.7,3,2,2,62.5,55.0,7.959
0.5,4,5,4,62.3,53.0,6.871
0.51,3,1,1,60.8,59.0,7.581
0.5,5,2,5,62.1,58.0,7.52
0.93,5,2,4,62.6,57.0,8.328
0.9,1,2,2,63.8,61.0,8.355
0.32,5,5,5,61.4,60.0,6.225
0.58,4,6,7,62.3,53.0,7.365
1.96,5,5,4,60.4,62.0,9.187000000000001
0.32,4,7,6,61.3,56.0,6.808
0.61,5,2,1,61.5,58.0,7.742999999999999
0.52,3,6,2,63.3,55.0,6.978
0.53,4,7,2,61.3,56.0,7.228
1.71,5,6,1,60.6,57.0,9.328
1.15,5,3,4,61.8,56.0,8.456
1.04,5,5,4,61.5,59.0,8.382
0.5,3,3,4,60.8,61.0,6.952999999999999
0.41,4,1,2,61.6,57.0,6.807
0.56,3,3,4,63.5,57.0,7.138
0.51,5,1,1,60.3,57.0,7.495
0.9,4,2,4,62.7,57.0,8.292
0.54,3,3,2,60.2,58.0,7.2139999999999995
0.75,3,7,2,62.3,59.0,7.809
0.32,4,4,5,62.2,57.0,5.974
1.01,2,5,4,63.9,58.0,8.283999999999999
0.39,2,1,3,63.5,58.0,6.898
0.7,3,1,1,62.8,59.0,8.024
0.41,4,7,5,59.8,57.0,6.9670000000000005
0.33,5,7,3,60.9,59.0,6.872000000000001
0.3,4,2,5,61.9,57.0,6.565
0.43,4,6,7,60.6,57.0,7.021
0.72,4,1,1,61.8,56.0,8.157
